Month,Region,Main_Category,Sub_Category,Product_Line,Price_Tier,Units_Sold,Revenue_USD,Online_Sales_Percentage,Retail_Price,Year
July,Latin America,Apparel,Casual,Jordan,Mid,529,65908.20740379686,39.98892797214146,201.3793754217764,1993
August,North America,Footwear,Lifestyle,Air Max,Premium,526,67048.66576808352,14.176376767607861,145.73605084003498,1993
September,Latin America,Footwear,Running,React,Premium,763,47015.549398902986,14.787775178151081,124.12028063619654,1993
October,North America,Apparel,Training,React,Premium,424,45565.193869619994,66.38213832919607,124.98581027186577,1993
November,Asia-Pacific,Accessories,Lifestyle,ZoomX,Mid,408,76113.41281723925,76.06535334034916,193.17332161285174,1993
December,Europe,Apparel,Lifestyle,React,Mid,411,54614.243536117734,39.79613148030942,133.6103205926045,1993
January,Asia-Pacific,Footwear,Running,Jordan,Economy,426,81465.4576141875,33.28839244217399,99.01900146097842,1994
February,Asia-Pacific,Accessories,Lifestyle,Air Max,Premium,482,80788.6048914761,35.798300297564126,112.09564662345564,1994
March,North America,Apparel,Running,Jordan,Economy,731,58255.65470865265,69.29167876918062,100.0090952517258,1994
April,Middle East & Africa,Footwear,Casual,React,Premium,668,53141.11279888413,89.94141080772158,184.43108295647366,1994
May,North America,Apparel,Casual,Pegasus,Mid,732,64500.91474203804,89.04005082136817,167.7963400186807,1994
June,Middle East & Africa,Apparel,Basketball,Air Max,Premium,355,37650.72214042821,13.129246304317661,52.778026993253604,1994
July,Asia-Pacific,Apparel,Training,ZoomX,Premium,333,31820.93533250348,77.91236500445045,234.7378258801185,1994
August,Europe,Footwear,Basketball,Jordan,Economy,354,71374.19422215932,44.98706989302637,58.256382977703964,1994
September,North America,Apparel,Basketball,ZoomX,Premium,530,82464.98003968678,18.334245800640552,77.12332370860324,1994
October,Latin America,Accessories,Running,Pegasus,Mid,527,27523.90056016704,36.47623241206223,56.099877929576266,1994
November,North America,Apparel,Lifestyle,Air Max,Premium,323,65926.4025386642,65.64380675324234,122.14579689921723,1994
December,Europe,Footwear,Running,ZoomX,Economy,401,74209.66218868371,21.05837427645539,235.41470641084962,1994
January,Asia-Pacific,Accessories,Lifestyle,Jordan,Premium,538,72637.61221455291,74.91089788703967,233.78291939919924,1995
February,North America,Footwear,Lifestyle,React,Economy,393,97523.49552688061,31.588926169478874,202.48818173522076,1995
March,Europe,Apparel,Lifestyle,Jordan,Economy,638,140422.5480631351,61.33155976729762,216.64268363416068,1995
April,Europe,Apparel,Casual,Jordan,Premium,581,59897.98448116776,12.098447821503484,127.22680031456146,1995
May,Latin America,Apparel,Casual,Jordan,Economy,734,163277.91380220646,75.63428471675508,133.29154379902263,1995
June,Middle East & Africa,Apparel,Lifestyle,Jordan,Economy,476,104741.00852871306,36.45680943059692,83.20682913307755,1995
July,Middle East & Africa,Accessories,Running,React,Premium,575,117298.46247046565,52.26407721246029,170.15004524518886,1995
August,Middle East & Africa,Apparel,Casual,React,Premium,542,64106.589423148,64.58787411876159,75.80577936781367,1995
September,Europe,Footwear,Casual,Jordan,Premium,567,30783.043753350707,22.061720544888075,191.97628932173401,1995
October,Europe,Accessories,Lifestyle,Air Max,Economy,375,24068.059380994175,44.366593890572204,102.40601866622893,1995
November,Europe,Footwear,Lifestyle,React,Mid,354,80015.87604419356,21.609198740611248,81.11886520583123,1995
December,Europe,Accessories,Training,Air Max,Premium,525,116745.72170970505,45.10286833911367,249.93912187095208,1995
